zemlja,ulazak,opis,azurirano
BAHAMI,✅🧪,"
Državljani Srbije mogu da uđu na Bahame. Aerodromi su zvanično otvoreni, ali se preporučuje da se pre putovanja kontaktira avio kompanija kojom se putuje. Neophodan je negativan PCR test, ne stariji od pet dana. Deci ispod 10 godina nije potreban test. Takođe, neophodna je tzv. zdravstvena viza za koju je potrebno podneti zahtev preko sledećeg sajta: <a href=""http://www.travel.gov.bs"">www.travel.gov.bs</a>. Obrada zahteva za ovu vizu traje 72 sata, a cena zavisi od planirane dužine boravka. Putnici koji žele da na Bahamima ostanu duže od četiri dana, moraju na Bahamina uraditi novi brzi test na COVID-19.

",05.01.2021.
BAHREIN,✅,"
Državljani Srbije mogu da uđu u Bahrein. Od 21. jula državljani Srbije koji uđu na međunarodni aerodrom Bahrein, moraće da snose troškove obaveznog testiranja (30 BHD-a). Rezidenti Bahreina i dalje imaju pravo besplatanog medicinskog tretmana na korona virus. Putnici po dolasku u Bahrein, koji su negativni, moraju u samoizolaciju na period od 10 dana. Posle karantina se vrši ponovno testiranja i isto se takoće plaća. Tranzitni putnici ne moraju da budu testirani i nemaju karantin. Svi putnici imaju obavezu da se registruju na ,,BeAware"" aplikaciju.

",05.01.2021.
BELGIJA,❌,"
Državljani Srbije ne mogu da uđu u Belgiju. Ulazak je dozvoljen samo licima koja imaju regulisan boravak u Belgiji i licima koja imaju suštinski razlog za putovanje, uz odgovarajući dokaz o razlogu putovanja (medicinski radnici, visokokvalifikovani radnici čije prisustvo je neophodno, studenti, lica koja putuju iz hitnih porodičnih razloga (spajanje porodice, poseta supružniku ili vanbračnom partneru, poseta u kontekstu zajedničkog roditeljstva, putovanja radi venčanja ili sahrane za prvi ili drugi stepen srodstva i sl.), lica koja dolaze na sastanke koje organizuju međunarodne organizacije i sl). Dozvola se dobija preko Ambasade Belgije u Beogradu.
Svi putnici imaju obavezu da popune Public Health Passenger Locator Form, 48 sati pre ulaska u Belgiju, osim putnika koji putujy drugim prevoznim sredstvom osim aviona ili broda i zadržaće se u Belgiji kraće od 48 sati. Putnici koji dolaze avionom ili brodom moraju da popune Public Health Passenger Locator Form, bez obzira na to koliko vremena će boraviti u Belgiji. Nakon popunjavanja formulara, putnik će dobiti SMS ili e-mail sa dodatnim informacijama.
Nakon ulaska u Belgiju obavezna je samoizolacija i testiranje koje se vrši prvog dana po ulasku, i ponovo, sedmog dana od ulaska. Ukoliko je i drugi test negativan, samoizolacija se ukida, a ukoliko je rezultat pozitivan ili se pojave simptomi bolesti, samoizolacija se produžava na još sedam dana. Lice koje u Belgiji boravi kraće od 48 sati, nema obavezu samoizolacije.
Počev od 25. decembra 2020.g. lica koja nemaju državljanstvo Belgije, odnoso nisu rezidenti Belgije, prilikom ulaska moraju da poseduju negativan PCR test, ne stariji od 48 sati.
Putnici koji dolaze avionom i dobiju SMS poruku da moraju da se testiraju, to mogu učiniti u Kovid test centru na briselskom aerodromu - <a href=""https://brusselsairport.ecocare.center/"">https://brusselsairport.ecocare.center/</a> .
Lista medicinskih ustanova u K. Belgiji u kojima je moguće uraditi test je dostupna na sledećem linku: <a href=""https://www.google.com/maps/d/viewer?mid=1cnNOMDS13iosY53TyRBz7SdIeJ7gTShY&amp;ll=50.654111784975065%2C4.393965958984363&amp;z=10"">https://www.google.com/maps/d/viewer?mid=1cnNOMDS13iosY53TyRBz7SdIeJ7gTShY&amp;ll=50.654111784975065%2C4.393965958984363&amp;z=10</a> .
Tranzit je dozvoljen, uz obavezu popunjavanja Public Health Passenger Locator Form. Ukoliko tranzit obuhvata određeno vreme boravka na teritoriji Belgije, lice koje tranzitira, to vreme mora provesti u samoizolaciji. Više informacija je dostupno na <a href=""https://www.info-coronavirus.be/en/faq/#faq"">https://www.info-coronavirus.be/en/faq/#faq</a> i na <a href=""https://dofi.ibz.be/sites/dvzoe/EN/Pages/Travel-to-Belgium.aspx"">https://dofi.ibz.be/sites/dvzoe/EN/Pages/Travel-to-Belgium.aspx</a>, gde se može preuzeti i Public Health Passenger Locator Form.

",05.01.2021.
BELIZE,✅,"
Državljani Srbije mogu da uđu u Belize. Aerodromi su otvoreni dok prelazak granice drumskim i vodenim putem nije moguć. Neophodan je negativan test (PCR ili serološki), ne stariji od 72 sata. Ukoliko istekne važnost testa, na aerodromu se može uraditi brzi test po ceni od 50 USD. Potrebno je da se preuzme zdravstvena aplikacija 72 sata pre dolaska (<a href=""https://www.covid19.bz/"" target=""_blank"">https://www.covid19.bz/</a>).

",05.01.2021.
BELORUSIJA,✅,"
Državljani Srbije mogu da uđu u Belorusiju isključivo preko aerodroma „Minsk"" uz obaveznu meru samoizolacije u trajanju od 10 dana, bez obzira na posedovanje negativnog PCR testa. U periodu samoizolacije nije moguće napuštati teritoriju Belorusije.
Ulazak u Belorusiju stranih državljana, uključujući i državljane Srbije, kopnenim, železničkim i rečnim putem privremeno je obustavljen uz izuzetak stranih državljana koji su supružnici, roditelji ili deca beloruskih državljana, stranih državljana sa regulisanim stalnim ili privremenim boravkom i stranih državljana koji poseduju belorusku radnu dozvolu. Navedeno ograničenje se ne odnosi na posade teretnih motornih vozila prilikom obavljanja poslova međunarodnog prevoza u drumskom i poštanskom saobraćaju, kao ni na posade brodova, aviona i vozova.

",05.01.2021.
BENIN,✅,"
Državljani Srbije mogu da uđu u Benin. Po dolasku na aerodromu se obavlja zdravstveni pregled i radi prvi PCR test. Licima bez vidljivih simtoma se određuje samoizolacija. Lica sa vidljivim simptomima se upućuju u Centar za izolaciju i privremeno se oduzima pasoš. Posle 15 dana se radi drugi PCR test. Treći PCR test se radi pre napuštanja Benina. Rezultati testa se dobijaju u roku od 24 do 48 sati. Troškove testiranja snose putnici i isti iznose oko 150 EUR. U slučaju da je posle 15 dana rezulat testa pozitivan, država Benin preuzima dalje lečenje bez naplate troškova.

",05.01.2021.
BOLIVIJA,❌,"
Državljani Srbije ne mogu da uđu u Boliviju.
Bolivija ne dozvoljava ulazak strancima u Boliviju, osim u veoma izuzetnim slučajevima za koje se predviđa rigorozna procedura. Međunarodni letovi su suspendovani.

",05.01.2021.
BOSNA I HERCEGOVINA,✅🧪,"
Državljani Srbije mogu bez ograničenja sa teritorije Srbije da uđu u BiH ili da tranzitiraju. Ukoliko državljani Srbije ulaze u BiH iz drugih zemalja, neophodan je negativan PCR test, ne stariji od 48 sati.

",05.01.2021.
BOCVANA,❌,"
Državljani Srbije ne mogu da uđu u Bocvanu osim lica sa regulisanim boravkom. Obavezan je 14-dnevni karantin. Tranzit je moguć iz susednih država ali isključivo u slučaju organizovanog repatriacinog leta, odnosno napuštanja zemlje (i regiona), uz prezentovanje negativnog testa, ne starijeg od 72 sata.

",05.01.2021.
BRAZIL,✅🧪,"
Državljani Srbije mogu da uđu u Brazil vazdušnim putem. Obavezan je negativan PCR test, ne stariji od 72 sata. Takođe, popunjava se formular izjave o zdravstvenom stanju.

",05.01.2021.
BRUNEJI DARUSALAM,❌,"
Državljani Srbije ne mogu da uđu niti tranzitiraju kroz Bruneje Darusalam osim lica koja imaju stalni boravak. Pre putovanja, potrebno je kontaktirati najbližu Ambasadu Bruneja.

",05.01.2021.
BUGARSKA,❌,"
Državljani Srbije mogu ući u Bugarsku bez negativnog PCR testa ako dolaze iz Srbije ili država članica EU ili Šengenskog sporazuma (uključujući San Marino, Andoru, Monako i Vatikan), Australije, Kanade, Gruzije, Japana, Novog Zelanda, Ruande, Republike Koreje, Tajlanda, Tunisa, Urugvaja, Ujedinjenih Arapskih Emirata, Belorusije i Turske. Ako državljanin Srbije dolazi iz zemlje koja nije prethodno navedana, neophodan je negativan PCR test, ne stariji od 72 sata.
Državljanima Srbije, koji tranzitiraju preko teritorije Bugarske, bez zadržavanja, nije potreban negativan PCR test, bez obzira iz koje zemlje dolaze. Na ulasku u zemlju, državljanin Srbije ima obavezu da graničnu policiju obavesti da je u tranzitu, kao i o mestu finalne destinacije. Iinformacija o tome se evidentira u jedinstvenom informacionom sistemu kako bi nadležna služba pratila kada je lice napustilo zemlju.
Licima koja dolaze iz Ujedinjenog kraljevstva Velike Britanije i Severne Irske nije dozvoljen ulazak u Bugarsku. Zabrana se ne odnosi na lica koja u Bugarskoj imaju odobren boravak i članove njihovih porodica. Lica kojima je dozvoljen ulazak u zemlju, moraju posedovati negativan PCR test, ne stariji od 72 sata, računajući od momenta testiranja. Lica koja u Bugarskoj imaju odobren boravak i članovi njihovih porodica, koji ne poseduju negativan PCR test, podležu karantinu u kućnim uslovima, u trajanju od 10 dana.
",05.01.2021.
BURKINA FASO,✅🧪,"
Državljani Srbije mogu da uđu u Burkinu Faso. Neophodan je negativan PCR test, ne stariji od pet dana. Svi putnici se upućuju u karantin u trajanju od 14 dana gde sami snose troškove boravka i tretmana. U karantinu se podvrgavaju testiranju prvog, osmog i četrnaestog dana.

",05.01.2021.
BURUNDI,✅🧪,"
Državljani Srbije mogu da uđu u Burundi. Neophodan je negativan PCR test, ne stariji do 72 sata. Po dolasku na aerodrom u Budzumburi, svi putnici se podvrgavaju dodatnom testiranju i smeštaju u hotele koji su namenjeni za tu svrhu 72 sata. Troškovi testa i smeštaja u hotelu idu na teret putnika.

",05.01.2021.
VANUATU,❌,"
Svim stranim državljanima, uključujući i državljane Srbije, do daljnjeg je zabranjen ulazak u zemlju.

",05.01.2021.
VELIKA BRITANIJA,✅,"
Državljani Srbije mogu ući ili tranzitirati kroz Ujedinjeno Kraljevstvo pod uslovom da imaju validnu vizu. Pri ulasku neophodno je da se elektronskim putem unapred popuni formular za praćenje kretanja - Passenger Locator Form. Putnici u tranzitu, takođe, su u obavezi da unapred popune ovaj formular.
Svi putnici, uključujući i državljane Srbije, ukoliko dolaze iz Srbije ili iz zemalja koje se uz Srbiju ne nalaze na listi sigurnih zemalja a u kojima su do ulaska u Ujedinjeno Kraljevstvo boravili dve nedelje ili kroz koje su tranzitirali, dužni su da budu u samoizolaciji u trajanju od dve nedelje. Sa početkom važenja od 15. decembra 2020. god. period trajanja dvonedeljne samoizolacije može biti skraćen ukoliko putnici najranije petog dana po dolasku urade test i dobiju negativan rezultat. Testovi se rade o trošku putnika u nekoj od akreditovanih laboratorija. Za putnike koji putuju u Škotsku, Vels i S. Irsku i dalje važi obaveza dvonedeljne samoizolacije bez mogućnosti skraćenja.

",05.01.2021.
VENECUELA,❌,"
Državljani Srbije ne mogu da uđu u Venecuelu jer su granice zatvorene za ulazak stranih državljana.

",05.01.2021.
VIJETNAM,❌,"
Državljani Srbije ne mogu da uđu, niti tranzitiraju kroz Vijetnam.

",05.01.2021.
GAMBIJA,❌,"
Državljani Srbije ne mogu da uđu u Gambiju. Međunarodni letovi su suspendovani.

",05.01.2021.
GANA,✅🧪,"
Državljani Srbije mogu da uđu u Ganu. Neophodan je negativan PCR test, ne stariji od 72 sata. Pre polaska putnici su dužni se prijave elektronskim putem na sajtu: <a href=""https://myfrontierhealthcare.com/home/ghana"">https://myfrontierhealthcare.com/home/ghana</a>. Putnici se, po dolasku na međunarodni aerodrom ,,Kotoka"" u Akri, podvrgavaju ponovnom testiranju o svom trošku. Cena testa iznosi 150 USD. Deca do pet godina starosti se ne testiraju. Rezulatat testa se dobija za 30 minuta. Lica u tranzitu, koja ne napuštaju aerodrom, se ne testiraju.
",05.01.2021.
GVATEMALA,✅🧪,"
Državljani Srbije mogu da uđu u Gvatemalu. Neophodan je negativan PCR test, ne stariji od 72 sata. Takođe potrebno je registrovati se 24 sata pre ulaska na <a href=""https://servicios.igm.gob.gt/pasedesalud/"">https://servicios.igm.gob.gt/pasedesalud/</a> kako bi se dobila zdravstvena propusnica.

",05.01.2021.
GVAJANA,✅🧪,"
Državljani Srbije mogu da uđu u Gvajanu. Neophodan je negativan PCR test, ne stariji od 7 dana. Pre dolaska (24 sata) potrebno je popuniti formular na sledećem sajtu <a href=""https://guyanatravel.gy/."">https://guyanatravel.gy/.</a>
",05.01.2021.
GVINEJA,✅,"
Državljani Srbije mogu da uđu u zemlju avio letom uz negativan test, ne stariji od 3 dana. Navedeno važi i za strane državljane.
Zatvoreni su kopneni i pomorski granični prelazi. Izuzetak predstavljaju predstavnici stranih diplomatko-konzularnih predstavništava i radnici humanitarnih misija kojima je, uz prethodnu notifikaciju, dozvoljen ulazak na teritoriju Gvineju.

",05.01.2021.
GVINEJA BISAO,❌,"
Državljani Srbije ne mogu da uđu u Gvineju Bisao.
Nije moguć ulazak stranih državljana u Gvineju Bisao. Zatvoreni su svi granični prelazi i obustavljen je međunarodni putnički saobraćaj – vazdušni, kopneni i pomorski. Izuzetak predstavljaju predstavnici stranih diplomatko-konzularnih predstavništavai radnici humanitarnih misija kojima je, uz prethodnu notifikaciju, dozvoljen ulazak na teritoriju Gvineje Bisao.

",05.01.2021.
GRENADA,✅🧪,"
Državljani Srbije mogu da uđu u Grenadu. Neophodan je negativan PCR test, ne stariji od sedam dana. Deci ispod pet godina nije potreban test. Neophodno je posedovati rezervaciju u smeštaju registrovanom za opservaciju i karantin u trajanju od najmanje pet dana. Potrebno je pre putovanja popuniti formular na sledećem sajtu: <a href=""https://covid19.gov.gd/travel/"">https://covid19.gov.gd/travel/</a>.
",05.01.2021.
GRUZIJA,❌,"
Državljani Srbije i strani državljani ne mogu da uđu u Gruziju. Od zabrane ulaska su izuzeti: supružnik i maloletno dete državljanina Gruzije, poslovni putnici sa specijalnom dozvolom, državljani i lica sa stalnim boravkom u Nemačkoj, Francuskoj, Estoniji, Letoniji i Litvaniji koje su ušle u Gruziju direktnim letom iz ovih zemalja.
Poslovne posete Gruziji su dozvoljene, a o neophodnoj dokumentaciji je moguće informisati se na <a href=""http://www.stopcov.ge"">www.stopcov.ge</a>. Lica koja ulaze u Gruziju zbog poslovnih obaveza testiraju se prilikom ulaska na aerodromu ili graničnom prelazu o svom trošku. Takođe, na svaka 72 sata u narednih 8 dana ponovlja se testiranje ili se podvrgavaju samoizolaciji u trajanju do 8 dana.
Strani državljani koji su zaposleni u Gruziji mogu ući u zemlju ukoliko njihov poslodavac uputi zahtev Ministarstvu spoljnih poslova Gruzije. Ukoliko su samozaposleni u Gruziji, za dozvolu se mogu prijaviti preko sajta: <a href=""https://registration.gov.ge/pub/form/7_protocol_for_arrivals_in_georgia/kcjcpx/"" target=""_blank"">https://registration.gov.ge/pub/form/7_protocol_for_arrivals_in_georgia/kcjcpx/</a>

",05.01.2021.
GRČKA,❌,"
Državljani Srbije ne mogu ući u Grčku. Izuzetak su lica koja imaju regulisan boravak u Grčkoj ili nekoj od zemalja EU ili Šengena, kao i posebne kategorije građana – vozači kamiona, studenti, sezonski radnici u poljoprivredi, državljani Srbije koji dobiju odobrenje od Ambasade Grčke u Beogradu i slično.
Ulazak u Grčku je moguć uz prethodnu prijavu (Passenger Locator Form - PLF) i prezentovanje koda koji se dobije preko ove prijave (prijava se preuzima na www.travel.gor.gr). Obavezan je negativan PCR test, ne stariji od 72 sata. Takođe, na graničnom prelazu se vrši dodatno testiranje (brzi test). Ulazak u Grčku je moguć samo ukoliko je rezultat brzog testa negativan. Lica koja uđu u Grčku u periodu od 18. decembra 2020. do 7. januara 2021. godine, u obavezi su da provedu u kućnoj izolaciji tri dana.
Ulazak u Grčku je moguć drumskim i vazdušnim putem. Državljani Srbije koji imaju boravak u Grčkoj mogu ući na svim otvorenim drumskim prelazima (uključujući i prelaz Evzoni, prema Severnoj Makedoniji). Državljani Srbije koji imaju boravak u nekoj od zemalja EU ili Šengena mogu ući u Grčku samo na graničnom prelazu Promahonas (između Grčke i Bugarske).
Ulazak vazdušnim putem je moguć samo preko aerodroma u Atini.
Od 1.novembra državljani Srbije koji su vlasnici nekretnina u Grčkoj mogu da uđu sa specijalnom dozvolom koju izdaje Ambasada Grčke u Beogradu. Ulazak se odobrava isključivo vlasnicima nekretnine, ne i članovima porodice. Mesečno se odobrava ulazak do 400 lica, vlasnika nekretnina. Više detalja u vezi sa uslovima ulaska vlasnika nekretnina se može naći u sledećem linku: <a href=""https://www.mfa.gr/serbia/sr/the-embassy/news/instruktsijie-ulasku-grchku-vlasnika-niekrietnina-iz-srbijie.html"">https://www.mfa.gr/serbia/sr/the-embassy/news/instruktsijie-ulasku-grchku-vlasnika-niekrietnina-iz-srbijie.html</a>
",05.01.2021.
DANSKA,❌,"
Državljani Srbije ne mogu da uđu u Dansku osim lica koja imaju regulisani boravak ili opravdani razlog (smrt bliskog srodnika, spajanje porodice, poziv za sud i drugo). Informacija o uslovima ulaska se može naći na sajtu danske policije - 
<a href=""https://politi.dk/en/entry"">https://politi.dk/en/entry</a>. Državljani Srbije koji ispunjavaju uslove za ulazak je potrebno da se obrate Ambasadi Danske u Beogradu radi izdavanja potvrde o opravdanosti boravka u Danskoj.
Tranzit je moguć ukoliko se putuje sa razlogom ili je u pitanju povratak kući. Tranzit treba obaviti bez zadržavanja. Potrebna su odgovarajuća dokumenta kao dokaz o razlogu tranzita.

",05.01.2021.
DOMINIKA,✅🧪,"
Državljani Srbije mogu da uđu u Dominiku. Pre ulaska u zemlju potrebno je popuniti zdravstveni upitnik na sajtu <a href=""https://domcovid19.dominica.gov.dm/"">https://domcovid19.dominica.gov.dm/</a>. Zdravstvene vlasti mogu, na osnovu upitnika, odbiti ulaz određenim putnicima. Neophodan je negativan PCR test, ne stariji od 72 sata. Po dolasku, putnici moraju da budu u režimu opservacije od 7 do 14 dana u zavisnosti od zemlje iz koje se dolazi. Takođe, tokom boravka je neophodno uraditi i brzi test na COVID-19.
",05.01.2021.
DOMINIKANSKA REPUBLIKA,✅,"
Državljani Srbije mogu da uđu u Dominikansku Republiku. Neophodan je negativan test.

",05.01.2021.
EGIPAT,✅🧪,"
Državljani Srbije mogu bez ograničenja da uđu u Egipat ili tranzitiraju. Od 1.septembra svim putnicima koji dolaze u Egipat potreban je negativan PCR test, ne stariji od 72 sata. Režim ulaska sa obaveznim negativnim testom se primenjuje za turističke destinacije poput Hurgade, Šarm el Šeika, Tabe, Mars Alama, Marse Matruh i važi na čitavoj teritoriji Egipta.

",05.01.2021.
EL SALVADOR,✅🧪,"
Državljani Srbije mogu da uđu u El Salvador. Neophodan je negativan PCR test, ne stariji od 72 sata. Test nije obavezan za decu mlađu od dve godine i akreditovane diplomate.

",05.01.2021.
EKVADOR,✅,"
Državljani Srbije, kao i ostali strani državljani, mogu da uđu i tranzitiraju kroz Ekvador uz obavezan PCR test, izdat maksimum deset dana pre ulaska u zemlju.

",05.01.2021.
ESVATINI,❌,"
Državljani Srbije ne mogu da uđu u Esvatini osim lica sa regulisanim boravkom. Obavezan je karantin od 14 dana. Moguć je tranzit iz susednih država ali isključivo u slučaju organizovanog leta, odnosno napuštanja zemlje (i regiona), uz prezentovanje negativnog testa, ne starijeg od 72 sata.

",05.01.2021.
